num_kids|customer_id|credit_score|country|gender|age|tenure|balance|products_number|credit_card|active_member|estimated_salary|churn
-|15613656|842|France|Male|58|1|63492.94|1|1|1|83172.19|0
-|15734311|661|France|Female|27|3|0.0|2|1|1|76889.79|0
-|15657214|601|France|Male|74|2|0.0|2|0|1|51554.58|0
-|15799350|632|France|Male|41|0|106134.46|1|0|1|105570.39|0
-|15729970|684|Germany|Male|29|8|127269.75|1|0|1|79495.01|0
-|15725835|785|Germany|Female|32|3|124493.03|2|0|1|52583.79|1
-|15745543|687|France|Male|39|7|0.0|2|1|0|26848.25|0
-|15727384|705|Germany|Female|43|10|146547.78|1|0|1|10072.55|1
-|15666916|639|France|Male|43|6|99610.92|2|1|0|187296.78|0
-|15732917|729|Germany|Male|46|5|117837.43|1|1|0|104016.61|1
-|15612050|556|Spain|Female|48|8|168522.37|1|1|1|151310.16|0
-|15726267|570|France|Male|32|9|117337.54|2|0|1|62810.91|0
-|15780124|841|France|Male|74|9|108131.53|1|0|1|60830.38|0
-|15726267|570|France|Male|32|9|117337.54|2|0|1|62810.91|0
-|15742238|705|Germany|Male|35|4|136496.12|2|1|0|116672.02|0
-|15679024|553|France|Male|32|3|116324.53|1|1|0|77304.49|0
-|15715297|779|Germany|Female|40|2|75470.23|1|1|1|52894.01|0
-|15633612|696|France|Male|28|4|172646.82|1|1|1|116471.43|0
-|15602929|728|Spain|Female|37|4|0.0|1|0|0|4539.38|0
-|15696703|691|Germany|Male|27|3|160358.68|2|1|0|142367.72|0
-|15756668|706|France|Male|30|3|98415.37|1|1|1|110520.48|0
-|15565779|627|Germany|Female|30|6|57809.32|1|1|0|188258.49|0
-|15795519|716|Germany|Female|18|3|128743.8|1|0|0|197322.13|0
-|15761477|501|Germany|Male|24|4|130806.42|2|1|0|80241.14|0
-|15731890|601|France|Male|41|1|123971.16|1|0|1|172814.99|0
-|15633043|545|Spain|Female|39|6|0.0|1|0|0|38410.74|1
-|15752953|634|France|Male|45|9|0.0|2|0|0|17622.82|0
-|15603088|451|Spain|Female|23|9|0.0|2|0|1|48021.71|0
-|15606613|655|France|Female|59|7|0.0|1|1|0|88958.49|1
-|15635939|458|France|Female|39|9|0.0|2|1|0|116343.09|0
-|15666043|520|France|Male|33|4|156297.58|2|1|1|166102.61|0
-|15746190|624|Spain|Female|28|2|0.0|2|0|1|104353.26|0
-|15591357|765|France|Male|51|3|123372.3|1|1|1|115429.32|0
-|15658716|667|Germany|Female|37|5|92171.35|3|1|0|178106.34|1
-|15679909|665|Spain|Male|41|8|0.0|2|1|0|132152.32|0
-|15634262|709|Germany|Male|34|4|148375.19|2|1|1|21521.38|0
-|15799825|583|France|Female|44|8|0.0|2|1|1|27431.62|0
-|15756875|782|Spain|Male|34|6|147422.44|1|0|1|42143.61|0
-|15678146|668|Spain|Female|24|7|173962.32|1|0|0|106457.11|1
-|15710743|621|France|Male|47|0|0.0|1|1|1|133831.37|1
-|15595831|579|Germany|Female|64|6|145215.43|1|1|1|164083.72|0
-|15626684|547|France|Female|38|5|167539.97|1|0|1|159207.34|0
-|15709846|840|France|Female|39|1|94968.97|1|1|0|84487.62|0
-|15635459|667|Germany|Female|27|3|106116.5|2|1|0|3674.71|0
-|15642544|723|France|Male|34|5|0.0|2|0|1|12092.03|0
-|15566494|487|France|Male|45|2|0.0|2|1|0|77475.73|0
-|15655238|668|France|Female|31|9|0.0|2|0|0|41291.73|0
-|15733429|520|Germany|Male|34|8|120018.86|2|1|1|343.38|0
-|15814536|549|France|Male|37|2|112541.54|2|0|0|47432.43|0
-|15771702|567|France|Female|35|5|166118.45|2|1|0|127827.18|0
-|15723008|720|France|Female|45|1|102882.4|2|1|1|35633.15|1
-|15797160|492|France|Female|49|8|0.0|1|1|1|182865.09|1
-|15792222|712|France|Female|37|1|106881.5|2|0|0|169386.81|0
-|15644765|689|Germany|Male|26|4|120727.97|1|0|1|149073.88|0
-|15610686|850|France|Male|63|8|169832.57|1|0|0|184107.26|1
-|15730868|747|France|Male|41|5|0.0|2|1|1|22750.17|0
-|15705991|469|Germany|Male|38|9|113599.42|1|0|0|11950.29|0
-|15577078|539|Spain|Male|38|6|0.0|1|1|1|152880.07|1
-|15679550|743|France|Male|32|9|0.0|2|1|0|175252.78|0
-|15787655|707|France|Male|47|3|0.0|2|1|0|174303.29|0
-|15668081|581|Spain|Female|50|4|0.0|2|1|1|80701.72|0
-|15747980|737|Spain|Male|38|6|146282.79|2|1|0|198516.2|0
-|15710295|445|Germany|Female|38|6|119413.62|2|1|0|175756.36|0
-|15724443|703|Germany|Female|29|3|122084.63|1|0|1|82824.08|0
-|15571305|588|Germany|Female|35|1|103060.63|1|1|0|179866.01|1
-|15569503|765|France|Male|44|6|0.0|2|1|1|159899.97|0
-|15581840|626|France|Male|33|8|0.0|2|1|0|138504.28|0
-|15772262|545|Germany|Male|37|9|110483.86|1|1|1|127394.67|0
-|15767794|744|France|Male|31|9|120718.28|1|1|1|58961.49|0
-|15629338|658|Spain|Female|31|2|36566.96|1|1|0|103644.98|1
-|15790379|629|Germany|Male|28|8|108601.0|1|1|1|119647.7|0
-|15750684|719|France|Female|42|4|0.0|1|1|0|28465.86|1
-|15697214|686|Spain|Female|36|5|0.0|2|1|1|152979.14|0
-|15711015|743|France|Male|36|4|0.0|2|1|1|190911.02|0
-|15573309|626|Spain|Female|48|2|0.0|2|1|1|95794.98|0
-|15805303|661|Germany|Male|44|1|141136.62|1|1|0|189742.78|1
-|15741385|710|Germany|Male|45|9|108231.37|1|1|1|188574.08|0
-|15780254|654|France|Male|40|6|0.0|1|0|0|183872.88|1
-|15744843|569|Spain|Female|34|6|144855.34|1|0|0|196555.32|0
-|15815626|640|France|Male|63|2|68432.45|2|1|1|112503.24|1
-|15784736|562|France|Male|45|6|136855.24|1|1|0|46864.0|0
-|15813412|721|France|Female|55|3|44020.89|1|1|0|65864.4|1
-|15809143|456|Germany|Male|32|9|133060.63|1|1|1|125167.92|0
-|15617617|811|Spain|Male|39|7|0.0|2|1|1|177519.39|0
-|15779738|534|France|Male|24|1|0.0|1|1|1|169653.32|0
-|15668669|423|France|Female|36|5|97665.61|1|1|0|118372.55|1
-|15687477|594|Germany|Male|28|5|185013.02|1|1|0|16481.12|0
-|15578908|725|Spain|Female|32|0|0.0|2|1|1|138525.19|0
-|15687658|716|France|Female|52|7|65971.61|2|1|0|14608.0|1
-|15615020|595|Germany|Female|41|9|150463.11|2|0|1|81548.38|0
-|15608886|679|France|Female|33|1|0.0|2|0|0|69608.48|0
-|15602551|667|Spain|Male|39|9|0.0|2|1|0|68873.8|0
-|15672945|661|France|Female|37|5|136425.18|1|1|0|81102.81|0
-|15757408|655|Spain|Male|38|3|250898.09|3|0|1|81054.0|1
-|15806132|555|France|Male|55|4|146798.81|1|1|1|74149.77|0
-|15813022|531|Spain|Male|70|1|0.0|2|0|0|99503.19|0
-|15673578|611|Germany|Female|40|7|128486.91|2|1|0|10109.47|0
-|15757916|600|France|Female|38|9|0.0|2|1|1|58855.85|0
-|15689168|531|Spain|Male|37|1|143407.29|2|0|1|84402.46|0
-|15769216|601|France|Female|43|2|0.0|1|1|0|49713.87|1
-|15593295|548|France|Male|57|6|76165.65|1|1|1|133537.53|0
-|15804814|759|France|Male|40|4|0.0|2|1|0|124615.59|0
-|15778934|678|Spain|Female|49|8|0.0|2|0|1|98090.69|0
-|15802351|755|Germany|Female|33|6|90560.3|2|1|1|42607.69|0
-|15630241|594|France|Male|61|3|62391.22|1|1|1|192434.11|0
-|15719561|768|France|Male|42|5|0.0|3|0|0|60686.4|0
-|15615096|492|France|Female|31|7|0.0|2|1|1|49463.44|0
